"","Country","Total_cases","Total_deaths","Pop_millions","Continent","fully_vax_count","Percent_Over_65","km2","GDP_per_capita","Obesity_rate","cvd_death_rate"
"1","Peru",3691213,213714,32.97,"South America",28382375,8.05,26,6692,19.7,88.61
"2","Bulgaria",1180636,37279,6.93,"Europe",2074555,20.06,62,11635,25,541.08
"3","Bosnia and Herzegovina",379982,15810,3.28,"Europe",846080,16.22,64,6916,17.9,343.55
"4","Hungary",1932788,46661,9.75,"Europe",6206878,20.69,104,18773,26.4,301.62
"5","Georgia",1662299,16844,3.71,"Asia",1276173,16.85,53,5042,21.7,454
"6","North Macedonia",316729,9337,2.07,"Europe",838032,14.17,82,6721,22.4,568.7
"7","Moldova",521182,11570,2.62,"Europe",1073162,14.03,90,5315,18.9,404.96
"8","Croatia",1160253,16124,4.05,"Europe",2250353,21.06,72,17399,24.4,265.85
"9","Czech Republic",3943792,40334,10.7,"Europe",6891525,20.23,133,26379,26,232.23
"10","Slovakia",2559088,20163,5.46,"Europe",2577827,17.05,111,21088,20.5,298.9
"11","Romania",2946174,65797,19.29,"Europe",8114769,17.58,81,14862,22.5,379.63
"12","Lithuania",1166108,9181,2.79,"Europe",1879742,20.45,43,23433,26.3,328.83
"13","Slovenia",1052574,6661,2.1,"Europe",1222225,21.23,104,29201,20.2,151.14
"14","Brazil",33004555,674102,212.56,"South America",174215643,9.21,25,7519,22.1,175.66
"15","United States",88849042,1021276,329.48,"North America",228604758,16.85,35,69288,36.2,157.01
"16","Latvia",842127,5871,1.9,"Europe",1305976,20.5,29,20642,23.6,356.84
"17","Chile",4095096,58878,19.12,"South America",17693813,11.81,26,16503,28,126.84
"18","Poland",6024488,116458,37.95,"Europe",22607497,18.72,123,17841,23.1,235.59
"19","Armenia",423771,8629,2.96,"Asia",985807,12.6,94,4670,20.2,345.49
"20","Trinidad and Tobago",168427,4031,1.4,"North America",716898,12.11,297,15243,18.6,227.3
"21","Argentina",9426171,129145,45.38,"South America",37888014,12.13,16,10729,28.3,183.93
"22","Italy",19667320,169390,59.55,"Europe",47974336,22.08,197,35551,19.9,126.09
"23","Greece",3843142,30476,10.72,"Europe",7642331,22.43,79,20277,24.9,186.77
"24","Belgium",4320107,32015,11.56,"Europe",9166189,19.21,380,51768,22.1,118.65
"25","Colombia",6198848,140202,50.88,"South America",36848923,8.39,45,6131,22.3,131.48
"26","United Kingdom",22883995,180718,67.22,"Europe",50762968,18.48,277,47334,27.8,132.38
"27","Paraguay",673829,19036,7.13,"South America",3530179,7.88,16,5400,20.3,187.91
"28","Russia",18198890,373942,144.1,"Europe",78504082,15.53,8,12173,23.1,432.92
"29","Ukraine",5079044,113232,44.13,"Europe",15153577,17.03,72,4836,24.1,591.01
"30","Mexico",6301645,326189,128.93,"North America",82652919,7.67,65,9926,28.9,157.27
"31","Tunisia",1087030,28823,11.82,"Africa",6392574,8.86,75,3924,26.9,317.88
"32","Portugal",5266454,24359,10.31,"Europe",8883561,20.92,112,24262,20.8,127.89
"33","Serbia",2045101,16155,6.91,"Europe",3278198,20,83,9215,21.5,448.84
"34","Spain",13032841,108974,47.35,"Europe",40657640,18.49,94,30116,23.8,106.78
